product_name,product_manufacture,series_number,retail_loc,order_id,amount,buyer_name,buyer_id,buyer_loc,purchase_time,payment_method
ProductA,MfctA,SeRIeSNUmA,locA,101,51,BuyerA,vxcasfd,locA,01-Jan,pmA
ProductA,MfctA,SeRIeSNUmA,locA,102,435,BuyerA,vxcasfd,locB,21-Mar,pmA
ProductA,MfctA,SeRIeSNUmA,locA,103,125,BuyerB,aerhdgsdf,locA,02-Mar,pmB
ProductA,MfctA,SeRIeSNUmA,locB,104,15,BuyerC,dsgdsfgswe,locA,24-Jan,pmC
ProductA,MfctA,SeRIeSNUmA,locI,105,245,BuyerC,dsgdsfgswe,locA,23-Feb,pmC
ProductA,MfctA,SeRIeSNUmA,locI,106,3,BuyerB,aerhdgsdf,locA,03-Apr,pmB
ProductA,MfctA,SeRIeSNUmA,locG,107,12,BuyerD,ghstdjreras,locB,12-Feb,pmD
ProductA,MfctA,SeRIeSNUmA,locB,108,423,BuyerD,ghstdjreras,locB,11-Jan,pmD
ProductA,MfctA,SeRIeSNUmA,locJ,109,346,BuyerE,szffgshwsgsf,loc,16-Apr,pmE
ProductA,MfctA,SeRIeSNUmA,locC,110,673,BuyerE,szffgshwsgsf,loc,26-Feb,pmE
ProductB,MfctA,SeRIeSNUmB,locC,111,232,BuyerF,dfacxbn,loc,21-Mar,pm
ProductB,MfctA,SeRIeSNUmB,locC,112,524,BuyerD,ghstdjreras,locB,15-Mar,pmD
ProductB,MfctA,SeRIeSNUmB,locC,113,235,BuyerC,dsgdsfgswe,locA,12-Feb,pmC
ProductB,MfctA,SeRIeSNUmB,locY,114,445,BuyerD,ghstdjreras,locB,26-Feb,pmD
ProductB,MfctA,SeRIeSNUmB,locC,115,44,BuyerG,vdzhsfg,loc,12-Jun,pm
ProductB,MfctA,SeRIeSNUmB,locC,116,645,BuyerB,aerhdgsdf,locA,13-Jan,pmB
ProductB,MfctA,SeRIeSNUmB,locO,117,2,BuyerG,vdzhsfg,loc,27-Mar,pm
ProductB,MfctA,SeRIeSNUmB,locC,118,53,BuyerH,sdgsfvcxzx,loc,25-Apr,pm
ProductB,MfctA,SeRIeSNUmB,locI,119,524,BuyerE,szffgshwsgsf,loc,06-Jan,pmE
ProductB,MfctA,SeRIeSNUmB,locB,120,83,BuyerF,dfacxbn,loc,23-Jan,pm
ProductB,MfctA,SeRIeSNUmB,locP,121,846,BuyerH,sdgsfvcxzx,loc,22-Feb,pm
ProductB,MfctA,SeRIeSNUmB,loc,122,27,BuyerE,szffgshwsgsf,loc,23-Mar,pmE
